ensgene,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B,symbol,description
ENSG00000163347,-1.9194367764617004,-2.0831139823424225,-1.7557595705809783,8.897595708005788,-23.17638344896092,8.507796556011544e-51,1.9743192687880387e-46,105.22088473159342,CLDN1,claudin 1
ENSG00000164236,-3.465961360013327,-3.7638602786107116,-3.168062441415943,5.390539866617115,-22.994017025251882,2.1084651327734543e-50,2.446452093557039e-46,103.96111738007743,ANKRD33B,ankyrin repeat domain 33B
ENSG00000189182,-5.314440969271686,-5.80369398153357,-4.825187957009803,7.0301297969051655,-21.46763179299834,4.937708985711851e-47,3.81948249074764e-43,96.5321686032733,KRT77,keratin 77
ENSG00000146242,2.183590729126559,1.9789997296751076,2.38818172857801,4.749993307854886,21.093311992906315,3.4614932672383035e-46,2.0081853189883018e-42,94.61007929019982,TPBG,trophoblast glycoprotein
ENSG00000110092,-1.6623174237699745,-1.821324982098284,-1.503309865441665,8.033826360901287,-20.661233546929363,3.350118214982874e-45,1.5548568659378514e-41,92.3862176184689,CCND1,cyclin D1
ENSG00000174136,-1.5772817399977992,-1.729080987382746,-1.4254824926128524,6.204954366362756,-20.535236825782004,6.523107180146343e-45,2.522920420374601e-41,91.7224636916028,RGMB,repulsive guidance molecule BMP co-receptor b
ENSG00000157368,-3.3803262257351414,-3.7082108762387636,-3.0524415752315193,4.405644834455443,-20.374998581987334,1.5267039093446374e-44,5.061241560035951e-41,90.5299101621332,IL34,interleukin 34
ENSG00000196743,1.7851668118394777,1.6110389771817801,1.9592946464971752,8.352037466273265,20.261456586081422,2.7943907756230173e-44,8.105829042388467e-41,90.2568134148643,GM2A,ganglioside GM2 activator
ENSG00000172201,-2.326628383009254,-2.556262435838092,-2.096994330180416,6.979019776014319,-20.023997833941955,9.94545006394297e-44,2.3113448761807096e-40,89.01610581752973,ID4,inhibitor of DNA binding 4
ENSG00000163874,3.042109412475937,2.7418545421290825,3.3423642828227913,5.05019974209529,20.023722949565435,9.960117539346332e-44,2.3113448761807096e-40,89.00967792429752,ZC3H12A,zinc finger CCCH-type containing 12A
ENSG00000136688,3.7723025163654365,3.397349557819896,4.147255474910978,4.92665766318865,19.883360522209998,2.116483728217193e-43,4.465011036091653e-40,88.26268915404246,IL36G,interleukin 36 gamma
ENSG00000077684,-1.3736072737726999,-1.510425959801641,-1.2367885877437588,4.856761727293417,-19.841624445497597,2.6494684595197706e-43,5.1236304226346496e-40,87.99486499334449,JADE1,jade family PHD finger 1
ENSG00000070778,-2.4112106427635496,-2.6571514641705893,-2.16526982135651,6.415010282643284,-19.37602076705333,3.294499605242803e-42,5.88093521840496e-39,85.53217738205034,PTPN21,protein tyrosine phosphatase non-receptor type 21
ENSG00000008311,2.1484907552296946,1.928839671495499,2.3681418389638904,4.784053340136531,19.331261579339863,4.2037726346148146e-42,6.968053411347956e-39,85.28303842813136,AASS,aminoadipate-semialdehyde synthase
ENSG00000185624,1.0468350907453559,0.9388141826751613,1.1548559988155505,8.883456046476358,19.152722082851525,1.1141465072527867e-41,1.7236589231538779e-38,84.27616553711991,P4HB,prolyl 4-hydroxylase subunit beta
ENSG00000164176,-2.529556847275877,-2.791958530023895,-2.2671551645278587,4.6060435599595575,-19.05188215917571,1.935473971224394e-41,2.80716306101458e-38,83.67195490644558,EDIL3,EGF like repeats and discoidin domains 3
ENSG00000261609,-2.2434030980641477,-2.476508655336324,-2.0102975407919716,9.743679913525586,-19.0201854276844,2.302981518192255e-41,3.1374869592430606e-38,83.55026125909708,GAN,gigaxonin
