ensgene,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B,symbol,description
ENSG00000288681,8.538254039879858,7.977082366883642,9.099425712876075,-4.4652870287242346,30.06999738932384,1.853585494342819e-64,4.301430498171946e-60,124.42861127160677,,novel protein
ENSG00000235288,10.756708293656793,9.9984227310188,11.514993856294785,-3.9469979525861443,28.035393914807376,1.1512667625257115e-60,1.335814824558583e-56,119.3261743499071,,"novel transcript, antisense to CCBP2"
ENSG00000257529,8.17382353260883,7.3764080471917275,8.971239018025933,-3.6514075114071294,20.258190498533057,2.843475308262619e-44,2.199522933451411e-40,85.86072165894466,RPL36A-HNRNPH2,RPL36A-HNRNPH2 readthrough
ENSG00000285283,6.277348442684585,5.652379511550417,6.902317373818753,-4.487426636432633,19.8507932776296,2.5218635406805082e-43,1.4630591331257968e-39,81.04512113425399,,novel protein
ENSG00000116478,1.6606523775003765,1.4737178031304405,1.8475869518703125,5.6864409333704815,17.556953410061155,8.050825603110153e-38,3.7365491789154843e-34,75.48066273326717,HDAC1,histone deacetylase 1
ENSG00000030582,1.8115964218865068,1.6071705456923862,2.0160222980806273,7.484274898751743,17.514012080269165,1.0268702861782206e-37,3.971591976841965e-34,75.2454994376153,GRN,granulin precursor
ENSG00000129235,2.281955280701217,2.0172389314946786,2.546671629907755,4.801046570422407,17.03673715896628,1.5570224303647567e-36,5.161751788434935e-33,72.53067102019816,TXNDC17,thioredoxin domain containing 17
ENSG00000105402,1.5558986025663204,1.3750455617781,1.736751643354541,6.3139230022625465,17.002607684580067,1.8930621766397675e-36,5.4913001088878054e-33,72.3517747684353,NAPA,NSF attachment protein alpha
ENSG00000067225,2.0789587320843417,1.8315053029782509,2.3264121611904325,8.876872473532625,16.603989522336725,1.8732737949851082e-35,3.622599307202035e-32,70.0522560168678,PKM,pyruvate kinase M1/2
ENSG00000118515,2.8105424988493546,2.4718718835758997,3.1492131141228095,6.782756283807301,16.401089500294905,6.056171577977101e-35,1.0810732126041277e-31,68.90532748284858,SGK1,serum/glucocorticoid regulated kinase 1
ENSG00000268083,8.624967024851482,7.613948496358726,9.635985553344238,-3.6085351528662355,16.860031710712644,4.2887002701873354e-36,1.1058175385551923e-32,68.8805968635091,,novel protein
ENSG00000185962,8.653639658026984,7.635517695578104,9.671761620475865,-1.2835124895300418,16.79805734883158,6.123696779532478e-36,1.4210650746583068e-32,68.6315932362286,LCE3A,late cornified envelope 3A
ENSG00000105427,3.2316288282820205,2.8386172384874744,3.6246404180765666,6.454320546057958,16.250853472248238,1.447978473293692e-34,2.3722802986345478e-31,68.03968301896701,CNFN,cornifelin
ENSG00000085831,2.7479182236163915,2.4135296624080564,3.0823067848247265,4.8590600650402935,16.24098817566281,1.533405346872284e-34,2.3722802986345478e-31,67.98558000954849,TTC39A,tetratricopeptide repeat domain 39A
ENSG00000101224,2.4604862785486583,2.1583555570152844,2.7626170000820323,4.198371100225266,16.094819782504832,3.589457976202594e-34,5.206060112234837e-31,67.12986947112609,CDC25B,cell division cycle 25B
ENSG00000184613,5.686302059028324,4.9866178086800925,6.385986309376555,3.894879120795594,16.061565985481103,4.357094991218389e-34,5.947690962718466e-31,66.9439201847568,NELL2,neural EGFL like 2
ENSG00000290226,5.997258644414642,5.284464529053264,6.71005275977602,-4.1014793933425295,16.628333724287188,1.6277573546573901e-35,3.433976106561763e-32,66.34080866361273,,novel transcript
ENSG00000287927,5.350461044130651,4.68385434027703,6.017067747984273,-0.39569023143263504,15.862863532380105,1.3904507104148321e-33,1.6982525887308734e-30,65.07549208549746,,novel transcript
ENSG00000148248,1.5458817808169316,1.3516665904750937,1.7400969711587695,7.046223191372859,15.730884506193503,3.0119223833224075e-33,3.494733541368989e-30,65.02159706265888,SURF4,surfeit 4
ENSG00000163202,7.032035385404601,6.146278663854277,7.917792106954925,4.978845398604467,15.690133881199866,3.8251161552961654e-33,4.22693549999061e-30,64.78721406060333,LCE3D,late cornified envelope 3D
ENSG00000170043,1.503516101020613,1.3130146622386192,1.694017539802607,3.629541780356932,15.598034686079485,6.569044913327745e-33,6.929148011758347e-30,64.22143912503488,TRAPPC1,trafficking protein particle complex subunit 1
ENSG00000257411,7.652692030215926,6.700763569588923,8.60462049084293,-3.4480133806165223,15.88802751617668,1.2001544283476243e-33,1.547265759124165e-30,64.10563268920386,,novel protein
ENSG00000105220,1.815098902995179,1.5820962083937655,2.048101597596592,7.236807549264183,15.395698917988094,2.16130795899777e-32,2.0898046873542604e-29,63.057936086863194,GPI,glucose-6-phosphate isomerase
